0128_C.arenicolus_Constance_123475,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0517485,5.08482e-14,0.0614241
0128_C.arenicolus_Constance_123475,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.0503462,1.16855e-10,0.0587535
0128_C.arenicolus_Constance_123475,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.0465862,8.16778e-09,0.0542553
0128_C.arenicolus_Constance_123475,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0499968,5.97853e-10,0.0574933
0131_C.wartmanii_Constance_123457,012_C.acrinasus_Thun_123125,021_C.fatioi_Thun_123669,0.0211765,0.00221987,0.0268372
0131_C.wartmanii_Constance_123457,012_C.acrinasus_Thun_123125,023_C.fatioi_Thun_123693,0.0261938,0.000363833,0.033759
0131_C.wartmanii_Constance_123457,012_C.acrinasus_Thun_123125,061_C.albellus_Thun_123578,0.0249711,0.00214685,0.0312344
0131_C.wartmanii_Constance_123457,012_C.acrinasus_Thun_123125,063_C.albellus_Thun_123845,0.0257195,0.00212249,0.0319963
0131_C.wartmanii_Constance_123457,012_C.acrinasus_Thun_123125,064_C.albellus_Thun_123902,0.0254082,0.00249928,0.0312543
0132_C.macrophthalmus_Constance_123471,014_C.acrinasus_Thun_123203,012_C.acrinasus_Thun_123125,0.00683536,0.160629,0.0109043
0132_C.macrophthalmus_Constance_123471,012_C.acrinasus_Thun_123125,021_C.fatioi_Thun_123669,0.0566576,3.06422e-14,0.0673078
0132_C.macrophthalmus_Constance_123471,012_C.acrinasus_Thun_123125,023_C.fatioi_Thun_123693,0.0598444,3.40838e-14,0.0723611
0132_C.macrophthalmus_Constance_123471,012_C.acrinasus_Thun_123125,061_C.albellus_Thun_123578,0.0514706,2.52661e-10,0.0609977
0132_C.macrophthalmus_Constance_123471,012_C.acrinasus_Thun_123125,063_C.albellus_Thun_123845,0.0546478,1.53971e-11,0.0643622
0132_C.macrophthalmus_Constance_123471,012_C.acrinasus_Thun_123125,064_C.albellus_Thun_123902,0.0558705,1.58783e-11,0.0648239
0131_C.wartmanii_Constance_123457,013_C.acrinasus_Thun_123147,021_C.fatioi_Thun_123669,0.0207261,0.00391941,0.0259688
0131_C.wartmanii_Constance_123457,013_C.acrinasus_Thun_123147,022_C.fatioi_Thun_123690,0.0327766,2.01093e-05,0.0420647
0131_C.wartmanii_Constance_123457,013_C.acrinasus_Thun_123147,023_C.fatioi_Thun_123693,0.026569,0.000451878,0.0338982
0131_C.wartmanii_Constance_123457,013_C.acrinasus_Thun_123147,061_C.albellus_Thun_123578,0.0305793,9.02203e-05,0.0378887
0131_C.wartmanii_Constance_123457,013_C.acrinasus_Thun_123147,063_C.albellus_Thun_123845,0.0297335,0.000105517,0.0366748
0131_C.wartmanii_Constance_123457,013_C.acrinasus_Thun_123147,064_C.albellus_Thun_123902,0.0278524,0.000292283,0.0338889
0131_C.wartmanii_Constance_123457,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.00625304,0.19601,0.00781166
0131_C.wartmanii_Constance_123457,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.00863144,0.130829,0.011036
0131_C.wartmanii_Constance_123457,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.00381243,0.310401,0.00483815
0131_C.wartmanii_Constance_123457,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.00949669,0.128795,0.0117001
0131_C.wartmanii_Constance_123457,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.00687824,0.205646,0.00844494
0131_C.wartmanii_Constance_123457,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0100369,0.122143,0.0121717
0132_C.macrophthalmus_Constance_123471,013_C.acrinasus_Thun_123147,014_C.acrinasus_Thun_123203,0.000749032,0.457353,0.00130817
0132_C.macrophthalmus_Constance_123471,013_C.acrinasus_Thun_123147,021_C.fatioi_Thun_123669,0.0562081,1.21014e-14,0.0664251
0132_C.macrophthalmus_Constance_123471,013_C.acrinasus_Thun_123147,023_C.fatioi_Thun_123693,0.0602002,3.77476e-15,0.0723975
0132_C.macrophthalmus_Constance_123471,013_C.acrinasus_Thun_123147,061_C.albellus_Thun_123578,0.0570381,3.79063e-12,0.0674219
0132_C.macrophthalmus_Constance_123471,013_C.acrinasus_Thun_123147,063_C.albellus_Thun_123845,0.0587105,5.35016e-13,0.0689157
0132_C.macrophthalmus_Constance_123471,013_C.acrinasus_Thun_123147,064_C.albellus_Thun_123902,0.0582533,7.32936e-12,0.0673892
0132_C.macrophthalmus_Constance_123471,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0422773,1.29488e-10,0.0491111
0132_C.macrophthalmus_Constance_123471,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0475837,1.51057e-12,0.0562508
0132_C.macrophthalmus_Constance_123471,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0377844,1.87667e-08,0.0446618
0132_C.macrophthalmus_Constance_123471,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.0363114,1.14239e-07,0.0421047
0132_C.macrophthalmus_Constance_123471,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.0361567,1.11004e-07,0.0416066
0132_C.macrophthalmus_Constance_123471,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0408998,2.69201e-09,0.0464082
